CIR,LSV,ART,APT,OPC,PTOS,CALIF,INFRACCION,MULTA,RESPONSABILIDAD,COMENTARIO,MATERIA
CIR  Art. 002 Apt. 1 Opc. 5D,LSV  Art. 010 Apt. 1 Opc. 5D,2010,11,5D,0,LEVE,"COMPORTARSE INDEBIDAMENTE EN LA CIRCULACIÓN CAUSANDO PELIGRO A LAS PERSONAS. (DEBERÁ INDICARSE DETALLADAMENTE EL COMPORTAMIENTO Y/O EL
TIPO DE PELIGRO CAUSADO)","100.0
50.0",CONDUCTOR USUARIO,,COMPORTA MIENTO INDEBIDO
CIR  Art. 002 Apt. 1 Opc. 5E,LSV  Art. 010 Apt. 1 Opc. 5E,2010,11,5E,0,LEVE,"COMPORTARSE INDEBIDAMENTE EN LA CIRCULACIÓN ENTORPECIENDO LA MISMA, CAUSANDO PERJUICIOS Y MOLESTIAS INNECESARIAS A LAS PERSONAS O DAÑOS A LOS BIENES. (DEBERÁ INDICARSE DETALLADAMENTE EL COMPORTAMIENTO Y/O EL TIPO DE PERJUICIO, MOLESTIA O DAÑO CAUSADOS.) ","80.0
40.0",CONDUCTOR USUARIO,"NOTA: TENDRÍAN CABIDA EN ESTE SUPUESTO, POR EJEMPLO, CIRCULAR CON EL VOLUMEN ELEVADO DEL REPRODUCTOR DE SONIDO AL CIRCULAR POR TRAVESÍAS O VÍAS URBANAS, YA QUE TAL CONDUCTA PUEDE ""CAUSAR UNA MOLESTIA INNECESARIA A LAS PERSONAS QUE HABITAN EN LOS INMUEBLES CERCANOS A LA VÍA"".",COMPORTA MIENTO INDEBIDO
CIR  Art. 003 Apt. 1 Opc. 5C,LSV  Art. 010 Apt. 2 Opc. 5C,3010,12,5C,0,GRAVE 076.- M),"CONDUCIR SIN LA DILIGENCIA
,PRECAUCIÓN Y NO DISTRACCIÓN NECESARIOS PARA EVITAR TODO DAÑO PROPIO O AJENO  (DEBERÁ DETALLARSE LA CONDUCTA)","200.0
100.0",CONDUCTOR,,CONDUCC. NEGLIGENT E
CIR  Art. 004 Apt. 2 Opc. 5B,LSV  Art. 012 Apt. 2 Opc. 5B,4012,22,5B,0,LEVE,"DEPOSITAR O ABANDONAR SOBRE LA VÍA OBJETOS O MATERIAS QUE PUEDAN ENTORPECER LA LIBRE CIRCULACIÓN, PARADA O ESTACIONAMIENTO  (DEBERÁ INDICARSE EL OBJETO O MATERIA QUE CAUSE EL ENTORPECIMIENTO)","80.0
40.0",CONDUCTOR USUARIO,"NOTA: HABRÁ QUE TENER EN CUENTA, A EFECTOS DE TRASLADO AL MINISTERIO FISCAL,LOS CASOS EN LOS QUE LOS HECHOS PUDIERAN SER CONSTITUTIVOS DE DELITO PREVISTO EN EL ART. 385  DEL CÓDIGO PENAL POR ORIGINAR UN GRAVE RIESGO PARA LA CIRCULACIÓN COLOCANDO EN LA VÍA OBSTÁCULOS IMPREVISIBLES, DERRAMANDO SUSTANCIAS DESLIZANTES O INFLAMABLES O POR CUALQUIER OTRO
MEDIO",COMPORTA MIENTO INDEBIDO
CIR  Art. 005 Apt. 1 Opc. 5B,LSV  Art. 012 Apt. 3 Opc. 5B,5012,13,5B,0,LEVE,"NO ADOPTAR LAS MEDIDAS NECESARIAS PARA QUE EL RESTO DE USUARIOS PUEDAN ADVERTIR UN OBSTÁCULO O PELIGRO EN LA VÍA POR QUIEN LO HA CREADO. (DEBERÁ INDICARSE EL OBSTÁCULO O
PELIGRO EXISTENTE)","80.0
40.0",CONDUCTOR USUARIO,"NOTA:  PARA ADVERTIR LA PRESENCIA EN LA VÍA DE CUALQUIER OBSTÁCULO O PELIGRO CREADO, EL CAUSANTE DEL MISMO DEBERÁ SEÑALIZARLO DE FORMA EFICAZ, TANTO DE DÍA COMO DE NOCHE (ART. 130.3, 140 Y 173 RGCIR).",SEÑALIZACI ÓN
CIR  Art. 005 Apt. 6 Opc. 5A,LSV  Art. 012 Apt. 3 Opc. 5A,5012,63,5A,0,LEVE,"DETENER, PARAR O ESTACIONAR LOS VEHÍCULOS DESTINADOS A LOS SERVICIOS DE URGENCIA, ASISTENCIA MECÁNICA O DE CONSERVACIÓN DE CARRETERAS EN LUGAR DISTINTO DEL FIJADO POR LOS AGENTES DE LA AUTORIDAD RESPONSABLES
DEL TRÁFICO","80.0
40.0",CONDUCTOR,NOTA: TODAS LAS ACTUACIONES A REALIZAR CON ESTE TIPO DE VEHÍCULOS DEBERÁ REGIRSE POR LOS PRINCIPIOS DE UTILIZACIÓN DE LOS RECURSOS IDÓNEOS Y ESTRICTAMENTE NECESARIOS EN CADA CASO.,PARADA
CIR  Art. 006 Apt. 1 Opc. 5B,LSV  Art. 012 Apt. 4 Opc. 5B,6012,14,5B,4,GRAVE 076.- N),"ARROJAR A LA VÍA O EN SUS INMEDIACIONES CUALQUIER OBJETO QUE PUEDA PRODUCIR ACCIDENTES DE CIRCULACIÓNOBJETO
ARROJADO)","200.0
100.0",CONDUCTOR,"NOTA: HABRÁ QUE TENER EN CUENTA, A EFECTOS DE TRASLADO AL MINISTERIO FISCAL, LOS CASOS EN LOS QUE LOS HECHOS PUDIERAN SER CONSTITUTIVOS DE DELITOS PREVISTOS EN LOS ARTÍCULOS 385 Ó 351 DEL CÓDIGO PENAL.",COMPORTA MIENTO INDEBIDO
CIR  Art. 006 Apt. 1 Opc. 5D,LSV  Art. 012 Apt. 4 Opc. 5D,6012,14,5D,0,GRAVE 076.- N),ARROJAR A LA VÍA O EN SUS INMEDIACIONES CUALQUIER OBJETO QUE PUEDA PRODUCIR ACCIDENTES DE CIRCULACIÓN. (DEBERÁ DETALLARSE EL OBJETO  ARROJADO.),"200.0
100.0",AUTOR PASAJERO,"NOTA: HABRÁ QUE TENER EN CUENTA, A EFECTOS DE TRASLADO AL MINISTERIO FISCAL, LOS CASOS EN LOS QUE LOS HECHOS PUDIERAN SER CONSTITUTIVOS DE DELITOS PREVISTOS EN LOS ARTÍCULOS 385 O 351 DEL CÓDIGO PENAL.",COMPORTA MIENTO INDEBIDO
CIR  Art. 007 Apt. 1 Opc. 5B,LSV  Art. 012 Apt. 7 Opc. 5B,7012,17,5B,0,GRAVE 076.- O),"CIRCULAR CON UN VEHÍCULO CON NIVELES DE EMISIÓN DE RUIDO SUPERIORES A LOS LÍMITES ESTABLECIDOS POR LAS NORMAS QUE REGULAN ESPECÍFICAMENTE LA MATERIA  (LA COMISIÓN DE LOS HECHOS DESCRITOS EN ESTOS SUPUESTOS SE DENUNCIARÁN POR ESTE PRECEPTO, AUNQUE  EN DIRECTA RELACIÓN CON LO DISPUESTO EN EL ART. 11.19 DEL REGLAMENTO GENERAL
DE VEHÍCULOS)","200.0
100.0",TITULAR CONDUCTOR,NOTA: AL PERSEGUIR ESTE TIPO DE INFRACCIÓN DEBERÁ CONTARSE CON EL MEDIO TÉCNICO (SONÓMETRO) QUE PERMITA COMPROBAR LOS NIVELES DE RUIDO DETECTADOS,EMISIONES
CIR  Art. 007 Apt. 1 Opc. 5C,LSV  Art. 012 Apt. 7 Opc. 5C,7012,17,5C,0,GRAVE 076.- O),"CIRCULAR CON UN VEHÍCULO EMITIENDO GASES O HUMOS EN VALORES SUPERIORES A LOS LÍMITES ESTABLECIDOS EN LAS NORMAS REGULADORAS DE LOS VEHÍCULOS  (LA COMISIÓN DE LOS HECHOS DESCRITOS EN ESTOS SUPUESTOS SE DENUNCIARÁN POR ESTE PRECEPTO, AUNQUE  EN DIRECTA RELACIÓN CON LO DISPUESTO EN EL ART. 11.19 DEL REGLAMENTO GENERAL
DE VEHÍCULOS)","200.0
100.0",TITULAR CONDUCTOR,NOTA: AL PERSEGUIR ESTE TIPO DE INFRACCIÓN DEBERÁ CONTARSE CON EL MEDIO TÉCNICO NECESARIO QUE PERMITA COMPROBAR EL NIVEL DE GASES O HUMOS DETECTADOS,EMISIONES
CIR  Art. 007 Apt. 1 Opc. 5D,LSV  Art. 012 Apt. 7 Opc. 5D,7012,17,5D,0,GRAVE 076.- O),"CIRCULAR CON UN VEHÍCULO QUE HA SIDO OBJETO DE UNA REFORMA DE IMPORTANCIA NO AUTORIZADA  (LA COMISIÓN DE LOS HECHOS DESCRITOS EN ESTE SUPUESTO SE DENUNCIARÁN POR ESTE PRECEPTO, AUNQUE  EN DIRECTA RELACIÓN CON  LO DISPUESTO EN EL ARTÍCULO 7 DEL REGLAMENTO
GENERAL DE VEHÍCULOS)","200.0
100.0",TITULAR CONDUCTOR,,REFORMAS IMPORTAN C.
CIR  Art. 007 Apt. 2 Opc. 5B,LSV  Art. 012 Apt. 5 Opc. 5B,7012,25,5B,0,GRAVE 076.- O),"CIRCULAR CON UN CICLOMOTOR CON EL ESCAPE LIBRE, SIN LLEVAR INSTALADO EL PRECEPTIVO DISPOSITIVO SILENCIADOR DE EXPLOSIONES O CON UN SILENCIADOR INEFICAZ  (LA COMISIÓN DE LOS HECHOS DESCRITOS EN ESTOS SUPUESTOS SE DENUNCIARÁN POR ESTE PRECEPTO, AUNQUE  EN DIRECTA RELACIÓN CON LO DISPUESTO EN EL ART. 11.19 DEL REGLAMENTO GENERAL
DE VEHÍCULOS)","200.0
100.0",CONDUCTOR,,EMISIONES
CIR  Art. 009 Apt. 1 Opc. 5E,LSV  Art. 013 Apt. 2 Opc. 5E,9013,12,5E,0,LEVE,"TRANSPORTAR EN EL VEHÍCULO RESEÑADO UN NÚMERO DE PERSONAS SUPERIOR AL DE PLAZAS AUTORIZADAS, SIN QUE EL EXCESO DE OCUPACIÓN SUPERE EN UN 50% DICHAS PLAZAS. ( EN TRANSPORTE ESCOLAR Y DE MENORES, SE APLICARÁ LA NORMATIVA ESPECÍFICA SOBRE LA MATERIA (RD 443/2001, DE 27 DE ABRIL, SOBRE CONDICIONES DE SEGURIDAD EN EL TRANSPORTE ESCOLAR Y DE MENORES))","100.0
50.0",CONDUCTOR,"NOTA:  EJ: TURISMO DE 5
PLAZAS. HASTA 6 OCUPANTES MÁX. OTROS TIPOS DE VEHÍCULO DE HASTA 9 PLAZAS: HASTA 12
OCUPANTES MÁX. SI EL EXCESO AFECTA A LOS MOVIMIENTOS DEL CONDUCTOR O A LA ESTABILIDAD DEL VEHÍCULO SE TIPIFICARÁ COMO INFRACCIÓN AL ART. 3.1 DEL RGCIR.(CONDUCCIÓN NEGLIGENTE)",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR  Art. 010 Apt. 2 Opc. 5A,LSV  Art. 013 Apt. 2 Opc. 5A,10013,22,5A,0,LEVE,"VIAJAR PERSONAS EN UN VEHÍCULO DESTINADO AL TRANSPORTE DE MERCANCÍAS O COSAS EN EL LUGAR RESERVADO A LA CARGA, INCUMPLIENDO LAS CONDICIONES QUE SE ESTABLECEN EN LAS DISPOSICIONES QUE
REGULAN LA MATERIA","80.0
40.0",CONDUCTOR,"NOTA: NO OBSTANTE, EN LOS VEHÍCULOS DE TRANSPORTE DE MERCANCÍAS O COSAS, EXCEPCIONALMENTE, PODRÁN VIAJAR PERSONAS EN EL LUGAR RESERVADO A LA CARGA EN LAS  CONDICIONES QUE SE ESTABLECEN EN LAS DISPOSICIONES QUE REGULAN LA MATERIA",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR  Art. 010 Apt. 3 Opc. 5B,LSV  Art. 013 Apt. 2 Opc. 5B,10013,32,5B,0,,"LLEVAR INSTALADA UNA PROTECCIÓN DE LA CARGA QUE PUEDE DAÑAR A LOS OCUPANTES EN CASO DE SER PROYECTADA, EN UN VEHÍCULO AUTORIZADO PARA TRANSPORTAR SIMULTÁNEAMENTE
PERSONAS Y CARGA","200.0
SIN REDUC.",TITULAR CONDUCTOR,NOTA: LOS HECHOS DESCRITOS EN ESTOS SUPUESTOS SE DENUNCIARÁN POR EL ARTÍCULO 12.4 DEL REGLAMENTO GENERAL DE VEHÍCULOS,CARGA Y DESCARGA
CIR  Art. 011 Apt. 1 Opc. 5B,LSV  Art. 013 Apt. - Opc. 5B,11013,11--,5B,0,LEVE,"NO PARAR LO MÁS CERCA POSIBLE DEL BORDE DERECHO DE LA CALZADA EL CONDUCTOR DE UN TRANSPORTE COLECTIVO DE
PERSONAS","80.0
40.0",CONDUCTOR,,TRANSPOR TE PÚBLICO DE VIAJEROS
CIR  Art. 011 Apt. 1 Opc. 5C,LSV  Art. 013 Apt. 2 Opc. 5C,11013,12,5C,0,LEVE,"REALIZAR EL CONDUCTOR DE UN TRANSPORTE COLECTIVO DE PERSONAS, ACTOS QUE LE PUEDAN DISTRAER
DURANTE LA MARCHA","80.0
40.0",CONDUCTOR,,TRANSPOR TE PÚBLICO DE VIAJEROS
CIR  Art. 011 Apt. 2 Opc. 5B,LSV  Art. 010 Apt. 2 Opc. 5B,11010,22,5B,0,LEVE,"NO PROHIBIR LA ENTRADA U ORDENAR LA SALIDA EL CONDUCTOR DE UN VEHÍCULO DESTINADO AL SERVICIO PÚBLICO DE TRANSPORTE COLECTIVO DE PERSONAS, A LOS VIAJEROS QUE VULNEREN LAS PROHIBICIONES
ESTABLECIDAS","80.0
40.0",CONDUCTOR,,TRANSPOR TE PÚBLICO DE VIAJEROS
CIR  Art. 012 Apt. 1 Opc. 5A,LSV  Art. 013 Apt. 2 Opc. 5A,12013,12,5A,0,LEVE,CIRCULAR 2 PERSONAS EN UN CICLO EN CONDICIONES DISTINTAS A LAS REGLAMENTARIAS (ESPECIFICAR EL INCUMPLIMIENTO),"80.0
40.0",CONDUCTOR,"NOTA: NO OBSTANTE, SE PODRÁ TRANSPORTAR A UNA PERSONA CUANDO SE CUMPLAN CIERTOS REQUISITOS: QUE EL CONDUCTOR SEA MAYOR DE EDAD, QUE LA PERSONA TRANSPORTADA SEA UN MENOR DE HASTA 7 AÑOS Y QUE UTILICE UN ASIENTO ADICIONAL QUE HABRÁ DE
SER HOMOLOGADO",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR  Art. 012 Apt. 2 Opc. 5A,LSV  Art. 013 Apt. 2 Opc. 5A,12013,22,5A,0,LEVE,CIRCULAR 2 PERSONAS EN EL VEHÍCULO RESEÑADO EN CONDICIONES DISTINTAS A LAS REGLAMENTARIAS (ESPECIFICAR EL INCUMPLIMIENTO),"80.0
40.0",CONDUCTOR,"NOTA: NO OBSTANTE, EN LOS CICLOMOTORES Y MOTOCICLETAS, ADEMÁS DEL CONDUCTOR Y, EN SU CASO, DEL OCUPANTE DEL SIDECAR DE ÉSTA ÚLTIMAS, PUEDE VIAJAR, SIEMPRE QUE ASÍ CONSTE EN SU LICENCIA O PERMISO DE CIRCULACIÓN, UN PASAJERO CUMPLIENDO CIERTOS REQUISITOS (VER
GUÍA COMENTADA)",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR  Art. 012 Apt. 2 Opc. 5B,LSV  Art. 013 Apt. 5 Opc. 5B,12013,25,5B,0,GRAVE 076.- I),"CIRCULAR CON MENORES DE DOCE AÑOS COMO PASAJEROS DE MOTOCICLETAS O CICLOMOTORES EN CONDICIONES DISTINTAS A LAS REGLAMENTARIAS. (DEBEN TENERSE EN CUENTA LAS EXCEPCIONES REGLAMENTARIAS PARA MAYORES DE 7 AÑOS, CUANDO SEAN CONDUCIDOS POR SU PADRE, MADRE O TUTOR O POR PERSONAS MAYORES DE EDAD POR ELLOS AUTORIZADAS; SIEMPRE Y CUANDO SE HAGA CUMPLIENDO DETERMINADOS REQUISITOS
)","200.0
100.0",CONDUCTOR,NOTA: (VER GUÍA COMENTADA),EMPLAZAMI ENTO PERSONAS/ CARGA
CIR  Art. 012 Apt. 4 Opc. 5A,LSV  Art. 013 Apt. - Opc. 5A,12013,41--,5A,0,LEVE,CIRCULAR  EL VEHÍCULO RESEÑADO ARRASTRANDO UN REMOLQUE EN CONDICIONES DISTINTAS A LAS REGLAMENTARIAS (ESPECIFICAR EL INCUMPLIMIENTO),"80.0
40.0",CONDUCTOR,"NOTA: LAS MOTOCICLETAS, LOS VEHÍCULOS DE TRES RUEDAS, LOS CICLOMOTORES Y LOS CICLOS Y BICICLETAS PODRÁN ARRASTRAR UN REMOLQUE O SEMIRREMOLQUE SIEMPRE QUE NO SUPEREN EL 50 % DE LA MASA EN VACÍO (MMA) DEL VEHÍCULO TRACTOR Y
SE CUMPLAN CIERTAS CONDICIONES.","REMOLQUE
DE VEHÍCULOS"
CIR  Art. 014 Apt. 1 Opc. 5D,LSV  Art. 012 Apt. 6 Opc. 5D,14012,1-B6,5D,0,"MUY GRAVE 077.-
B)","CIRCULAR CON EL VEHÍCULO RESEÑADO CUYA CARGA HA CAÍDO A LA VÍA, POR SU MAL ACONDICIONAMIENTO, CREANDO GRAVE PELIGRO PARA EL RESTO DE LOS USUARIOS","500.0
250.0","TITULAR CONDUCTOR AUTOR
RESPONSABLE","NOTA: DEBERÁN ESPECIFICARSE LAS CONCRETAS CIRCUNSTANCIAS EN QUE LOS HECHOS SE HAN PRODUCIDO, SEÑALANDO EN LAS MISMAS SI AQUELLOS SE DEBIERON A UN MAL ACONDICIONAMIENTO IMPUTABLE AL CONDUCTOR O AL TITULAR DEL VEHÍCULO OBJETO DE DENUNCIA (EN FUNCIÓN DE LA CLASE, TIPO Y SERVICIO A QUE EL MISMO
SE DEDICABA EN ESE MOMENTO)",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR  Art. 0 Apt.  Opc. ,LSV  Art.  Apt.  Opc. ,,,,,,,,,,
CIR  Art. 014 Apt. 1 Opc. 5C,LSV  Art. 012 Apt. 6 Opc. 5C,14012,1-D6,5C,0,LEVE,"CIRCULAR CON EL VEHÍCULO RESEÑADO EN EL QUE LA INDEBIDA DISPOSICIÓN DE LA CARGA OCULTA LOS DISPOSITIVOS DE ALUMBRADO O SEÑALIZACIÓN LUMINOSA, PLACAS O DISTINTIVOS OBLIGATORIOS Y LAS ADVERTENCIAS MANUALES DEL CONDUCTOR. (DEBEN ESPECIFICARSE LAS SEÑALES O PLACAS
OCULTADAS.)","80.0
40.0",TITULAR CONDUCTOR AUTOR RESPONSABLE,,EMPLAZAMI ENTO PERSONAS/ CARGA
CIR  Art. 015 Apt. 6 Opc. 5A,LSV  Art. 012 Apt. 6 Opc. 5A,15012,66,5A,0,LEVE,"NO SEÑALIZAR REGLAMENTARIAMENTE LA CARGA QUE SOBRESALE LONGITUDINALMENTE DEL VEHÍCULO RESEÑADO  (SI LA SEÑAL SE ENCUENTRA EN EL VEHÍCULO EL RESPONSABLE ES EL CONDUCTOR. EN OTRO
CASO, EL TITULAR.)","80.0
40.0",TITULAR CONDUCTOR,"NOTA:  EN TODO CASO, LA CARGA QUE SOBRESALGA POR DETRÁS DE LOS VEHÍCULOS DEBERÁ SER SEÑALIZADA POR MEDIO DE LA SEÑAL V-20 A QUE SE REFIERE EL ARTÍCULO 173 DEL RGCIRC., Y CUYAS CARACTERÍSTICAS SE ESTABLECEN EN EL ANEXO XI DEL RGVEH.",SEÑALIZACI ÓN
CIR  Art. 015 Apt. 7 Opc. 5A,LSV  Art. 010 Apt. 2 Opc. 5A,15010,72,5A,0,LEVE,NO SEÑALIZAR REGLAMENTARIAMENTE LA CARGA QUE SOBRESALE LATERALMENTE DEL GÁLIBO DEL VEHÍCULO RESEÑADO (INDICAR SI LA SEÑAL CORRESPONDIENTE SE  ENCUENTRA O NO ACTIVADA),"80.0
40.0",TITULAR CONDUCTOR,,SEÑALIZACI ÓN
CIR  Art. 016 Apt. - Opc. 5B,LSV  Art. 010 Apt. 2 Opc. 5B,16010,-2,5B,0,LEVE,"REALIZAR EN LA VÍA OPERACIONES DE CARGA Y DESCARGA OCASIONANDO PELIGRO O PERTURBACIONES GRAVES AL TRÁNSITO DE OTROS USUARIOS  (DEBERÁ INDICARSE EL PELIGRO O LA
PERTURBACIÓN CAUSADA)","80.0
40.0",CONDUCTOR,,CARGA Y DESCARGA
CIR  Art. 017 Apt. 1 Opc. 5A,LSV  Art. 010 Apt. 1 Opc. 5A,17010,11,5A,0,LEVE,"CONDUCIR SIN ADOPTAR LAS PRECAUCIONES NECESARIAS PARA LA SEGURIDAD DE OTROS USUARIOS DE LA VÍA (DEBERÁ INDICARSE  EL HECHO QUE PROVOCÓ LA
FALTA DE PRECAUCIÓN)","80.0
40.0",CONDUCTOR,NOTA: LOS CONDUCTORES DEBERÁN ESTAR EN TODO MOMENTO EN CONDICIONES DE CONTROLAR SUS VEHÍCULOS O ANIMALES.,COMPORTA MIENTO INDEBIDO
CIR  Art. 017 Apt. 2 Opc. 5B,LSV  Art. 010 Apt. 1 Opc. 5B,17010,21,5B,0,LEVE,"ABANDONAR LA CONDUCCIÓN DE CABALLERÍAS, GANADOS O VEHÍCULOS DE CARGA DE TRACCIÓN ANIMAL, DEJÁNDOLOS MARCHAR LIBREMENTE POR EL CAMINO O DETENERSE EN EL (DEBERÁ INDICARSE EL ANIMAL O VEHÍCULO DE QUE SE TRATE)  ","80.0
40.0",CONDUCTOR,,COMPORTA MIENTO INDEBIDO
CIR  Art. 018 Apt. 1 Opc. 5A,LSV  Art. 013 Apt. 2 Opc. 5A,18013,12,5A,0,LEVE,"CONDUCIR EL VEHÍCULO RESEÑADO SIN MANTENER LA PROPIA LIBERTAD DE MOVIMIENTOS  (DEBERÁN
CONCRETARSE LOS HECHOS)","80.0
40.0",CONDUCTOR,,COMPORTA MIENTO INDEBIDO
CIR  Art. 018 Apt. 1 Opc. 5B,LSV  Art. 013 Apt. 2 Opc. 5B,18013,12,5B,0,LEVE,CONDUCIR UN VEHÍCULO SIN MANTENER EL CAMPO DE VISIÓN  (DEBERÁN CONCRETARSE LOS HECHOS),"80.0
40.0",CONDUCTOR,,COMPORTA MIENTO INDEBIDO
CIR  Art. 018 Apt. 1 Opc. 5D,LSV  Art. 013 Apt. 2 Opc. 5D,18013,12,5D,0,LEVE,"CONDUCIR UN VEHÍCULO SIN
MANTENER LA POSICIÓN ADECUADA Y QUE LA MANTENGAN EL RESTO DE LOS PASAJEROS  (DEBERÁN CONCRETARSE LOS HECHOS)","80.0
40.0",CONDUCTOR,,COMPORTA MIENTO INDEBIDO
CIR  Art. 018 Apt. 1 Opc. 5E,LSV  Art. 013 Apt. 2 Opc. 5E,18013,12,5E,0,LEVE,"CONDUCIR UN VEHÍCULO SIN CUIDAR DE LA ADECUADA COLOCACIÓN DE LOS OBJETOS O ALGÚN ANIMAL TRANSPORTADO PARA QUE NO INTERFIERAN LA CONDUCCIÓN  (DEBERÁN
CONCRETARSE LOS HECHOS)","80.0
40.0",CONDUCTOR,NOTA: LOS ANIMALES INCONTROLADOS DEBEN SER TRANSPORTADOS EN RECINTOS ADECUADOS O INDEPENDIENTES DEL USADO POR LOS PASAJEROS.,COMPORTA MIENTO INDEBIDO
CIR  Art. 018 Apt. 1 Opc. 5F,LSV  Art. 013 Apt. 3 Opc. 5F,18013,13,5F,3,GRAVE 076.- F),"CIRCULAR CON UN VEHÍCULO UTILIZANDO EL CONDUCTOR DISPOSITIVOS VISUALES INCOMPATIBLES CON LA ATENCIÓN PERMANENTE A LA CONDUCCIÓN.  (DEBERÁ ESPECIFICARSE EL
DISPOSITIVO UTILIZADO)","200.0
100.0",CONDUCTOR,"NOTA: SE CONSIDERA INCOMPATIBLE CON LA OBLIGATORIA ATENCIÓN PERMANENTE A LA CONDUCCIÓN, EL USO POR EL CONDUCTOR CON EL VEHÍCULO EN MOVIMIENTO DE DISPOSITIVOS TALES COMO PANTALLAS CON ACCESO A INTERNET, MONITORES DE TELEVISIÓN Y
REPRODUCTORES DE VIDEO O DVD.",USO DE DISPOSITIV OS
CIR  Art. 018 Apt. 2 Opc. 5A,LSV  Art. 013 Apt. 3 Opc. 5A,18013,23,5A,3,GRAVE 076.- F),"CONDUCIR UTILIZANDO CASCOS O AURICULARES CONECTADOS A APARATOS RECEPTORES O REPRODUCTORES DE
SONIDO","200.0
100.0",CONDUCTOR,NOTA: DEBERÁ ESPECIFICARSE EL DISPOSITIVO UTILIZADO,USO DE DISPOSITIV OS
CIR  Art. 018 Apt. 2 Opc. 5B,LSV  Art. 013 Apt. 3 Opc. 5B,18013,23,5B,3,GRAVE 076.- G),"CONDUCIR UTILIZANDO MANUALMENTE EL TELÉFONO MÓVIL O CUALQUIER OTRO DISPOSITIVO INCOMPATIBLE CON LA OBLIGATORIA ATENCIÓN PERMANENTE A LA CONDUCCIÓN.EL
DISPOSITIVO UTILIZADO)","200.0
100.0",CONDUCTOR,,USO DE DISPOSITIV OS
CIR  Art. 018 Apt. 3 Opc. 5B,LSV  Art. 013 Apt. 6 Opc. 5B,18013,36,5B,0,GRAVE 076.- M),EMITIR O HACER SEÑALES DE FORMA ENCAMINADA A ELUDIR LA VIGILANCIA DE LOS AGENTES DE TRÁFICO.,"200.0
100.0",CONDUCTOR,NOTA: DEBERÁ ESPECIFICARSE LA CONDUCTA CONCRETAMENTE DETECTADA.,CONDUCC. NEGLIGENT E
