CIR,LSV,ART,APT,OPC,PTOS,CALIF,INFRACCION,MULTA,RESPONSABILIDAD,COMENTARIO,MATERIA
CIR  Art. 019 Apt. 1 Opc. 5A,LSV  Art. 013 Apt. 2 Opc. 5A,19013,12,5A,0,GRAVE 076.- O),"CIRCULAR CON UN VEHÍCULO CUYA SUPERFICIE ACRISTALADA NO PERMITE A SU CONDUCTOR LA VISIBILIDAD DIÁFANA SOBRE TODA LA VÍA POR LA COLOCACIÓN DE LAMINAS, ADHESIVOS, CORTINILLAS U OTROS ELEMENTOS NO
AUTORIZADOS","200.0
100.0",TITULAR,"NOTA: QUEDAN PROHIBIDA LA INSTALACIÓN DE LÁMINAS ADHESIVAS O CORTINILLAS EN EL CRISTAL FRONTAL O EN LAS VENTANILLAS LATERALES DELANTERAS, ASÍ COMO CUALQUIER OTRA SUPERFICIE ACRISTALADA INCLUIDA EN EL ARCO DE 180 º DE VISIÓN DIRECTA HACIA DELANTE DEL CONDUCTOR (ORDEN ITC/1992/2010, DE 14 DE JULIO).",CONDICION ES TÉCNICAS
CIR  Art. 019 Apt. 1 Opc. 5B,LSV  Art. 013 Apt. 2 Opc. 5B,19013,12,5B,0,GRAVE 076.- O),"CIRCULAR CON UN VEHÍCULO PROVISTO DE LÁMINAS ADHESIVAS O CORTINILLAS CONTRA EL SOL EN LAS VENTANILLAS POSTERIORES, SIN LLEVAR DOS ESPEJOS RETROVISORES QUE CUMPLAN LAS ESPECIFICACIONES TÉCNICAS NECESARIAS.","200.0
100.0",TITULAR,"NOTA: LAS LÁMINAS DE MATERIAL PLÁSTICO ADHESIVAS PUEDEN HOMOLOGARSE JUNTO CON EL VIDRIO AL QUE VAN DESTINADAS, EN APLICACIÓN DE LA DIRECTIVA 92/22/CEE DEL CONSEJO, DE 31 DE MARZO, RELATIVA A LOS CRISTALES DE SEGURIDAD Y A LOS MATERIALES PARA ACRISTALAMIENTO DE VEHÍCULOS A MOTOR Y SUS REMOLQUES, O DEL REGLAMENTO DE LA CEPE/ONU
43R00.",CONDICION ES TÉCNICAS
CIR  Art. 020 Apt. 1 Opc. 5F,LSV  Art. 014 Apt. 1 Opc. 5F,20014,11,5F,4,"MUY GRAVE 077.-
C)","CIRCULAR CON UNA TASA DE ALCOHOL EN SANGRE SUPERIOR A 0,50 GRAMOS POR 1000 C.C., QUE ES LA REGLAMENTARIAMENTE ESTABLECIDA (PARA CONDUCTORES EN GENERAL, PRUEBAS SIEMPRE CON ETILÓMETROS
HOMOLOGADOS)","500.0
250.0",CONDUCTOR,NOTA: CAUSA DE POSIBLE INMOVILIZACIÓN Y DEPÓSITO DEL VEHÍCULO (ARTS. 104 Y 105 LSV),ALCOHOL
CIR  Art. 020 Apt. 1 Opc. 5I,LSV  Art. 014 Apt. 1 Opc. 5I,20014,11,5I,6,"MUY GRAVE 077.-
C)","CIRCULAR CON UNA TASA DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0,25 MILIGRAMOS POR LITRO, QUE ES LA REGLAMENTARIAMENTE ESTABLECIDA, SOBREPASANDO LOS 0,50 MG/L (TRAS LA ENTRADA EN VIGOR DE LA LEY 6/2014, DE 7 DE ABRIL, HAY NUEVAS CUANTÍAS SANCIONADORAS APLICABLES SÓLO A SUPUESTOS DE HECHO COMETIDOS A PARTIR DE LA ENTRADA EN VIGOR DE LA CITADA LEY.ENTRA EN VIGOR
EL 9/5/14)","1000.0
500.0",CONDUCTOR,"NOTA: PARA CONDUCTORES EN GENERAL, PRUEBAS SIEMPRE CON ETILÓMETROS HOMOLOGADOS. LA REFERENCIA SANCIONADORA ES LA DE LA TASA MENOR CON ETILÓMETRO HOMOLOGADO. CAUSA POSIBLE INMOVILIZACIÓN Y DEPÓSITO DEL VEHÍCULO (ART. 104 Y 105 LSV)",ALCOHOL
CIR  Art. 020 Apt. 1 Opc. 5J,LSV  Art. 014 Apt. 1 Opc. 5J,20014,11,5J,6,"MUY GRAVE 077.-
C)","CIRCULAR CON UNA TASA DE ALCOHOL EN SANGRE SUPERIOR A 0,50 GRAMOS POR MIL C.C, QUE ES LA REGLAMENTARIAMENTE ESTABLECIDA, SOBREPASANDO 1,00 GR/L (TRAS LA ENTRADA EN VIGOR DE LA LEY 6/2014, DE 7 DE ABRIL, HAY NUEVAS CUANTÍAS SANCIONADORAS APLICABLES SÓLO A SUPUESTOS DE HECHO COMETIDOS A PARTIR DE LA ENTRADA EN VIGOR DE LA CITADA LEY. ENTRA EN VIGOR EL 9/5/14.PARA CONDUCTORES EN
GENERAL.)","1000.0
500.0",CONDUCTOR,NOTA: PARA CONDUCTORES EN GENERAL.CAUSA DE POSIBLE INMOVILIZACIÓN Y DEPÓSITO DEL VEHÍCULO (ARTS. 104 Y 105 LSV).,ALCOHOL
CIR  Art. 020 Apt. 1 Opc. 5K,LSV  Art. 014 Apt. 1 Opc. 5K,20014,11,5K,6,"MUY GRAVE 077.-
C)","CIRCULAR CON UNA TASA DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0,15 MILIGRAMOS POR LITRO, QUE ES LA REGLAMENTARIAMENTE ESTABLECIDA, SOBREPASANDO LOS 0,30 MG/L (PARA CONDUCTORES PROFESIONALES, DE SERVICIO DE URGENCIA, MERCANCÍAS PELIGROSAS O TRANSPORTES ESPECIALES, NOVELES Y PRUEBAS SIEMPRE CON ETILÓMETROS
HOMOLOGADO.)","1000.0
500.0",CONDUCTOR,"NOTA: TRAS LA ENTRADA EN VIGOR DE LA LEY 6/2014, DE 7 DE ABRIL, HAY NUEVAS CUANTÍAS SANCIONADORAS APLICABLES SÓLO A SUPUESTOS DE HECHO COMETIDOS A PARTIR DE LA ENTRADA EN VIGOR DE LA CITADA LEY. LA REFERENCIA SANCIONADORA ES LA DE LA TASA MENOR CON ETILÓMETRO HOMOLOGADO. CAUSA POSIBLE INMOVILIZACIÓN Y DEPÓSITO DEL VEHÍCULO (ART 84 Y 85 LSV)",ALCOHOL
CIR  Art. 020 Apt. 1 Opc. 5M,LSV  Art. 014 Apt. 1 Opc. 5M,20014,11,5M,4,"MUY GRAVE 077.-
C)","CIRCULAR CON UNA TASA DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0,25 MILIGRAMOS POR LITRO, QUE ES LA REGLAMENTARIAMENTE ESTABLECIDA. (NUEVA CODIF. A TENER EN CUENTA, TRAS LA MODIFICACIÓN DE LA CUANTÍA DE SANCIÓN EN ESTOS SUPUESTOS, APROBADA POR LEY 6/2014, DE 7 DE ABRIL, REFERIDA A LA EXISTENCIA DE SANCIÓN FIRME ADOPTADA EN AÑO INMEDIATAMENTE ANTERIOR A LA FECHA DE LOS HECHOS
DETECTADOS)","1000.0
500.0",CONDUCTOR,"NOTA: PARA CONDUCTORES EN GENERAL, PRUEBAS SIEMPRE CON ETILÓMETROS HOMOLOGADOS.LA REFERENCIA SANCIONADORA ES LA DE LA TASA MENOR CON ETILÓMETRO HOMOLOGADO. CAUSA POSIBLE INMOVILIZACIÓN Y DEPÓSITO DEL VEHÍCULO (ART 104 Y 105 LSV)",ALCOHOL
CIR  Art. 020 Apt. 1 Opc. 5O,LSV  Art. 014 Apt. 1 Opc. 5O,20014,11,5O,4,"MUY GRAVE 077.-
C)","CIRCULAR CON UNA TASA DE ALCOHOL EN SANGRE SUPERIOR A 0,30 GRAMOS POR 1000 C.C., QUE ES LA REGLAMENTARIAMENTE ESTABLECIDA (PARA CONDUCTORES PROFESIONALES, NOVELES, DE SERVICIO DE URGENCIA, MERCANCÍAS PELIGROSAS O TRANSPORTES ESPECIALES. CAUSA DE POSIBLE INMOVILIZACIÓN Y DEPÓSITO DEL VEHÍCULO (ARTS. 104 Y
105 LSV))","1000.0
500.0",CONDUCTOR,"NOTA: NUEVA CODIFICACIÓN A TENER EN CUENTA, UNA VEZ TENIDA EN CONSIDERACIÓN LA MODIFICACIÓN DEL LÍMITE SANCIONADOR APLICABLE A ESTOS SUPUESTOS TRAS LA APROBACIÓN DE LA LEY 6/2014, DE 7 DE ABRIL, REFERIDA A LA CONSTANCIA DE LA EXISTENCIA DE UNA SANCIÓN FIRME EN EL AÑO INMEDIATAMENTE ANTERIOR A LA FECHA DE LOS HECHOS DETECTADOS.",ALCOHOL
CIR  Art. 026 Apt. 1 Opc. 5B,LSV  Art. 014 Apt. 5 Opc. 5B,26014,15,5B,0,LEVE,"NEGARSE EL PERSONAL SANITARIO DE UN CENTRO MÉDICO A REMITIR AL LABORATORIO LAS PRUEBAS OBTENIDAS PARA LA DETERMINACIÓN DEL GRADO DE ALCOHOLEMIA DE LA PERSONA QUE DESEA
SOMETERSE A TAL PRUEBA","80.0
40.0",FACULTATIVO,,ALCOHOL
CIR  Art. 026 Apt. 1 Opc. 5D,LSV  Art. 014 Apt. 5 Opc. 5D,26014,15,5D,0,LEVE,OMITIR EL PERSONAL SANITARIO ENCARGADO DE COMUNICAR A LA AUTORIDAD CORRESPONDIENTE EL RESULTADO DE LAS PRUEBAS REALIZADAS LOS DATOS EXIGIDOSREGLAMENTARIAMENTE ,"80.0
40.0",FACULTATIVO,,ALCOHOL
CIR  Art. 029 Apt. - Opc. 5B,LSV  Art. 015 Apt. 1 Opc. 5B,29015,-1,5B,0,GRAVE 076.- C),"NO CIRCULAR POR LA VÍA EN UN CAMBIO DE RASANTE O CURVA DE REDUCIDA VISIBILIDAD DEJANDO COMPLETAMENTE LIBRE LA MITAD DE LA CALZADA QUE CORRESPONDA A LOS QUE PUEDAN CIRCULAR EN
SENTIDO CONTRARIO","200.0
100.0",CONDUCTOR,,SENTIDO CIRCULACI ÓN
CIR  Art. 029 Apt. - Opc. 5A,LSV  Art. 015 Apt. 2 Opc. 5A,29015,-2,5A,6,"MUY GRAVE 077.-
F)","CIRCULAR POR LA IZQUIERDA EN UNA VÍA DE DOBLE SENTIDO DE LA CIRCULACIÓN EN SENTIDO CONTRARIO AL ESTIPULADO (DEBERÁ ESPECIFICARSE SI CIRCULABA ALGÚN VEHÍCULO POR SU SENTIDO DE LA VÍA Y EN SENTIDO CONTRARIO AL PRESUNTO INFRACTOR, SI ALGÚN VEHÍCULO TUVO QUE REALIZAR MANIOBRAS EVASIVAS Y SI HUBO PELIGRO PARA ALGÚN OTRO USUARIO DE LA VÍA.)  ","500.0
250.0",CONDUCTOR,"NOTA: NO SERÁ NECESARIO IDENTIFICAR NI AL VEHÍCULO NI AL USUARIO, PERO CASO DE DISPONER DE ALGÚN DATO SE HARÁ CONSTAR (MATRÍCULA, MARCA Y MODELO).",SENTIDO CONTRARIO
CIR  Art. 030 Apt. 1 Opc. 5D,LSV  Art. 016 Apt. 1 Opc. 5D,30016,1-B1,5D,6,"MUY GRAVE 077.-
F)","CIRCULAR POR EL CARRIL SITUADO MÁS A LA IZQUIERDA EN SENTIDO CONTRARIO AL ESTIPULADO, EN UNA CALZADA DE DOBLE SENTIDO DE CIRCULACIÓN Y TRES CARRILES SEPARADOS
POR MARCAS VIALES.","500.0
250.0",CONDUCTOR,,SENTIDO CONTRARI O
CIR  Art. 030 Apt. 1 Opc. 5A,LSV  Art. 017 Apt. 1 Opc. 5A,30017,11,5A,0,GRAVE 076.- C),"CIRCULAR POR EL ARCÉN, NO EXISTIENDO RAZONES DE EMERGENCIA, CON UN VEHÍCULO AUTOMÓVIL","200.0
100.0",CONDUCTOR,,ARCÉN
CIR  Art. 031 Apt. - Opc. 5B,LSV  Art. 016 Apt. 1 Opc. 5B,31016,-1,5B,0,GRAVE 076.- C),"CIRCULAR FUERA DE POBLADO POR UN CARRIL DISTINTO DEL SITUADO MÁS A LA DERECHA, EN CALZADA CON MÁS DE UN CARRIL PARA EL MISMO SENTIDO DE MARCHA, ENTORPECIENDO LA CIRCULACIÓN DE OTRO
VEHÍCULO QUE LE SIGUE.","200.0
100.0",CONDUCTOR,NOTA: ESTOS HECHOS NO SE DENUNCIARÁN COMO POSIBLE INFRACCIÓN SI NO EXISTE ENTORPECIMIENTO PARA OTRO VEHÍCULO QUE LE SIGA.,UTILIZACIÓ N CARRILES
CIR  Art. 031 Apt. 1 Opc. 5A,LSV  Art. 016 Apt. 1 Opc. 5A,31016,11,5A,0,GRAVE 076.- C),"CIRCULAR CON UN AUTOMÓVIL O VEHÍCULO ESPECIAL CON MMA SUPERIOR A 3.500 KG, FUERA DE POBLADO Y SIN RAZONES DE EMERGENCIA, POR EL ARCÉN DE UNA VÍA CON MÁS DE UN CARRIL PARA EL  MISMO SENTIDO DE MARCHA.","200.0
100.0",CONDUCTOR,,ARCÉN
CIR  Art. 032 Apt. - Opc. 5B,LSV  Art. 016 Apt. 1 Opc. 5B,32016,-1,5B,0,GRAVE 076.- C),"CIRCULAR FUERA DE POBLADO CON UN VEHÍCULO ESPECIAL O CONJUNTO DE VEHÍCULOS DE MÁS DE SIETE METROS DE LONGITUD,  POR UN CARRIL DISTINTO DEL SITUADO MÁS A LA DERECHA, ENTORPECIENDO LA MARCHA
DE OTRO QUE LE SIGUE.","200.0
100.0",CONDUCTOR,,UTILIZACIÓ N CARRILES
CIR  Art. 033 Apt. - Opc. 5B,LSV  Art. 016 Apt. 1 Opc. 5B,33016,-1,5B,0,GRAVE 076.- C),"CIRCULAR CON UN AUTOMÓVIL O VEHÍCULO ESPECIAL POR CALZADA DE POBLADO CON AL MENOS DOS CARRILES PARA EL MISMO SENTIDO, DELIMITADOS POR MARCAS LONGITUDINALES, CAMBIANDO DE CARRIL SIN  MOTIVO JUSTIFICADO.","200.0
100.0",CONDUCTOR,NOTA: EL HECHO DE CIRCULAR EN ZIG- ZAG DEBE TIPIFICARSE POR EL ARTÍCULO 3 DEL REGLAMENTO DE CIRCULACIÓN.,UTILIZACIÓ N CARRILES
CIR  Art. 035 Apt. - Opc. 5A,LSV  Art. 018 Apt. 1 Opc. 5A,35018,-1,5A,0,GRAVE 076.- C),"CIRCULAR POR UN CARRIL DE ALTA OCUPACIÓN, CON UN NÚMERO DE OCUPANTES, INCLUIDO EL CONDUCTOR, INFERIOR AL ESTABLECIDO. (VAO)","200.0
100.0",CONDUCTOR,"NOTA: LA AUTORIDAD COMPETENTE DETERMINARÁ LOS TRAMOS DE LA RED VIARIA EN LOS QUE FUNCIONARÁN CARRILES RESERVADOS PARA VAO, FIJARÁ LAS CONDICIONES DE UTILIZACIÓN Y PUBLICARÁ, REGLAMENTARIAMENTE, LA RELACIÓN DE TRAMOS DE LA RED VIARIA
EN LOS QUE SE HABILITEN.",BUS-VAO
CIR  Art. 035 Apt. - Opc. 5B,LSV  Art. 018 Apt. 2 Opc. 5B,35018,-2,5B,6,"MUY GRAVE 077.-
F)","CIRCULAR POR UN CARRIL DE ALTA OCUPACIÓN, EN SENTIDO CONTRARIO AL ESTABLECIDO (VAO)","500.0
250.0",CONDUCTOR,"NOTA: LA UTILIZACIÓN DEL CARRIL O CARRILES HABILITADOS PARA VEHÍCULOS CON ALTA OCUPACIÓN QUEDA LIMITADA A MOTOCICLETAS, TURISMOS Y VEHÍCULOS MIXTOS ADAPTABLES, QUE CUMPLAN LOS REQUISITOS PARA SER CONSIDERADOS
VAO.",SENTIDO CONTRARI O
CIR  Art. 036 Apt. 1 Opc. 5A,LSV  Art. 017 Apt. 1 Opc. 5A,36017,11,5A,0,GRAVE 076.- C),"NO CIRCULAR POR EL ARCÉN TRANSITABLE DE SU DERECHA EL CONDUCTOR DEL VEHÍCULO RESEÑADO ESTANDO OBLIGADO A UTILIZARLO (DEBEN CIRCULAR POR EL ARCÉN DE SU DERECHA, TOTAL O PARCIALMENTE: LOS VEHICULOS DE TRACCIÓN ANIMAL,LOS VEHÍCULOS ESPECIALES CON MMA NO SUPERIOR A 3.500 KG, LOS CICLOS Y CICLOMOTORES, LOS VEHÍCULOS PARA PERSONAS DE MOVILIDAD
REDUCIDA)","200.0
100.0",CONDUCTOR,"NOTA: LOS VEHÍCULOS EN SEGUIMIENTO DE CICLISTAS,LOS VEHÍCULOS CUYA MMA NO EXCEDA DE 3.500 KG QUE, POR RAZONES DE EMERGENCIA, LO HAGAN A VELOCIDAD ANORMALMENTE REDUCIDA, PERTURBANDO CON ELLO GRAVEMENTE LA CIRCULACIÓN.",ARCÉN
CIR  Art. 036 Apt. 2 Opc. 5A,LSV  Art. 017 Apt. 2 Opc. 5A,36017,22,5A,0,GRAVE 076.- Z),"CIRCULAR EN POSICIÓN PARALELA CON OTRO VEHÍCULO, TENIENDO AMBOS PROHIBIDA DICHA FORMA DE CIRCULAR (CON EXCEPCIÓN DE LAS BICICLETAS QUE PODRÁN HACERLO EN COLUMNA DE A 2, ORILLÁNDOSE TODO LO POSIBLE AL EXTREMO DERECHO DE LA VÍA Y COLOCÁNDOSE EN HILERA EN TRAMOS SIN VISIBILIDAD, Y CUANDO FORMEN AGLOMERACIONES DE
TRÁFICO.)","200.0
100.0",CONDUCTOR,"NOTA: EN LAS AUTOVÍAS SÓLO PODRÁN CIRCULAR POR EL ARCÉN, SIN INVADIR LA CALZADA EN NINGÚN CASO. LOS CICLOMOTORES PODRÁN CIRCULAR EN COLUMNA DE A DOS POR EL ARCÉN, CUANDO SEA TRANSITABLE ÉSTE, SIN INVADIR LA CALZADA EN NINGÚN CASO.",CONDUCC. NEGLIGENT E
CIR  Art. 037 Apt. - Opc. 5B,LSV  Art. 018 Apt. 1 Opc. 5B,37018,-1,5B,0,GRAVE 076.- C),"CIRCULAR POR UNA VÍA CERRADA AL TRÁFICO O POR UNO  DE SUS TRAMOS, VULNERANDO LA PROHIBICIÓN TOTAL O PARCIAL DE ACCESO AL MISMO POR PARTE DE LA AUTORIDAD COMPETENTE, POR RAZONES DE FLUIDEZ O SEGURIDAD DE LA
CIRCULACIÓN","200.0
100.0",CONDUCTOR,"NOTA: CUANDO SE VULNEREN LAS RESTRICCIONES ESTABLECIDAS POR LA RESOLUCIÓN ANUAL DE LA DGT DE MEDIDAS ESPECIALES, SE DENUNCIARÁ POR LOS ARTS.
39.2.5A Y 39.5.5A DEL RGCIRC",LIMITACION ES A LA CIRCULACI ÓN
CIR  Art. 037 Apt. - Opc. 5A,LSV  Art. 018 Apt. 2 Opc. 5A,37018,-2,5A,0,LEVE,"CIRCULAR POR UNA VÍA CONTRAVINIENDO LA RESTRICCIÓN O LIMITACIÓN DE CIRCULACIÓN A DETERMINADOS VEHÍCULOS ORDENADA POR LA AUTORIDAD COMPETENTE PARA EVITAR EL ENTORPECIMIENTO DE AQUELLA (PARA AQUELLOS SUPUESTOS EN QUE LA CONTRAVENCIÓN VULNERADA NO SE REFIERE A UNA ORDENACIÓN ESPECIAL DEL TRÁFICO POR RAZONES DE SEGURIDAD O
FLUIDEZ DE LA CIRCULACIÓN)","80.0
40.0",CONDUCTOR,"NOTA: CUANDO SE VULNEREN LAS RESTRICCIONES ESTABLECIDAS POR LA RESOLUCIÓN ANUAL DE LA DGT DE MEDIDAS ESPECIALES, SE DENUNCIARÁ POR LOS ARTS.
39.2.5A Y 39.5.5A DEL RGCIRC",LIMITACION ES A LA CIRCULACI ÓN
CIR  Art. 037 Apt. - Opc. 5A,LSV  Art. 018 Apt. 3 Opc. 5A,37018,-3,5A,0,GRAVE 076.- C),"CERRAR A LA CIRCULACIÓN DE UNA VÍA SIN ESTAR EL MISMO EXPRÉSAMENTE AUTORIZADO POR EL ORGANISMO AUTÓNOMO JEFATURA CENTRAL DE TRÁFICO O, EN SU CASO, POR LA AUTORIDAD AUTONÓMICA O LOCAL RESPONSABLE DE LA REGULACIÓN DEL
TRÁFICO.","200.0
100.0",AUTOR ORGANIZACIÓN,"NOTA: APLICABLE A TODOS AQUELLOS CIERRES A LA CIRCULACIÓN DE UNA VÍA QUE NO ESTÉN MOTIVADOS POR DEFICIENCIAS FÍSICAS DE LA INFRAESTRUCTURA O POR LA REALIZACIÓN DE OBRAS EN ÉSTA, CIRCUNSTANCIAS ÉSTAS QUE PODRÍAN SUPONER LA VULNERACIÓN DE LA NORMATIVA DE CARRETERAS Y/O SEGURIDAD CIUDADANA.",LIMITACION ES A LA CIRCULACI ÓN
CIR  Art. 037 Apt. - Opc. 5A,LSV  Art. 018 Apt. 4 Opc. 5A,37018,-4,5A,0,GRAVE 076.- C),"INCUMPLIR EL ORGANO PETICIONARIO, LAS INSTRUCCIONES FIJADAS POR LA AUTORIDAD RESPONSABLE DE LA REGULACIÓN DEL TRÁFICO, CON MOTIVO DEL ESTABLECIMIENTO DE RESTRICCIONES O LIMITACIONES A LA CIRCULACIÓN POR RAZONES DE SEGURIDAD O FLUIDEZ VIAL. (HABRÁ DE ESPECIFICARSE EL CONCRETO OBJETO DEL INCUMPLIMENTO DETECTADO, ASÍ COMO LOS EFECTOS PRODUCIDOS POR EL MISMO, AL OBJETO DE PODER GRADUAR EN LA DEBIDA FORMA LA SANCIÓN A IMPONER POR DICHA  CONDUCTA.)","200.0
100.0",ORGANIZACIÓN,,LIMITACION ES A LA CIRCULACI ÓN
CIR  Art. 038 Apt. 1 Opc. 5A,LSV  Art. 020 Apt. 1 Opc. 5A,38020,11,5A,"
0",GRAVE 076.- X),"CIRCULAR POR AUTOPISTAS O AUTOVÍAS CON VEHÍCULOS CON LOS QUE ESTÁ EXPRESAMENTE PROHIBIDO (SUPUESTO REFERIDO A CIRCULACIÓN CON VEHÍCULOS DE TRACCIÓN ANIMAL, BICICLETAS, CICLOMOTORES Y VEHÍCULOS PARA PERSONAS
DE MOVILIDAD REDUCIDA)","200.0

100.0",CONDUCTOR,,"
AUTOPISTA
-AUTOVÍA"
CIR  Art. 038 Apt. 2 Opc. 5A,LSV  Art. 021 Apt. 5 Opc. 5A,38021,25,5A,0,LEVE,"NO ABANDONAR UNA
AUTOPISTA O AUTOVÍA POR LA PRIMERA SALIDA EL CONDUCTOR DEL VEHÍCULO RESEÑADO CUANDO POR RAZONES DE EMERGENCIA SE VEA OBLIGADO A CIRCULAR A VELOCIDAD ANORMALMENTE REDUCIDA","

80.0

40.0",CONDUCTOR,,"AUTOPISTA
-AUTOVÍA"
CIR  Art. 038 Apt. 3 Opc. 5A,LSV  Art. 066 Apt. 1 Opc. 5A,38066,31,5A,0,"

MUY GRAVE 077.-
L)","CIRCULAR POR AUTOPISTA O
AUTOVÍA CON EL VEHÍCULO ESPECIAL RESEÑADO O EN RÉGIMEN DE TRANSPORTE ESPECIAL, QUE EXCEDE DE LAS MASAS Y DIMENSIONES ESTABLECIDAS PARA LOS VEHÍCULOS, CARECIENDO DE AUTORIZACIÓN.","

500.0

250.0",TITULAR,,"

MASAS Y DIMENSION ES"
CIR  Art. 038 Apt. 3 Opc. 5B,LSV  Art. 021 Apt. 5 Opc. 5B,38021,35,5B,"
0",GRAVE 076.- X),"CIRCULAR POR AUTOPISTA O
AUTOVÍA VEHÍCULO ESPECIAL RESEÑADO O EN RÉGIMEN TRANSPORTE ESPECIAL, SIN EXCESO DE MASAS O DIMENSIONES REGLAMENTARIAS, Y QUE POR SUS CARACTERISTICAS NO PUEDE DESARROLLAR VELOCIDAD SUPERIOR A 60 KM/H EN LLANO.","200.0

100.0",CONDUCTOR,"NOTA: HABRÁ DE COMPROBARSE, EN AQUELLOS CASOS DE VEHÍCULOS ESPECIALES O TRANSPORTES ESPECIALES QUE NO EXCEDAN DE DICHAS MASAS, QUE CUMPLAN LAS CONDICIONES QUE SE SEÑALAN EN EL ANEXO III DEL RGCIRC., ASÍ COMO EL GRUPO 2 DE DICHO ANEXO III EN LO CONCERNIENTE A LOS VEHÍCULOS ESPECIALES AGRÍCOLAS Y SUS CONJUNTOS.","
AUTOPISTA
-AUTOVÍA"
CIR  Art. 038 Apt. 4 Opc. 5A,LSV  Art. 021 Apt. 5 Opc. 5A,38021,45,5A,"

0","
GRAVE 076.- X)","CIRCULAR POR TRAVESÍA, VÍA
INTERURBANA, AUTOPISTA Y AUTOVÍA QUE TRANSCURREN DENTRO DE POBLADO, ASÍ COMO EN TÚNELES URBANOS, CON VEHÍCULOS
PERSONAL.	","
200.0

100.0",CONDUCTOR,"
NOTA: NUEVO APARTADO INTRODUCIDO POR RD 970/2020, DE 10 DE NOVIEMBRE, DE MODIFICACIÓN DEL RGCIRCULACIÓN, CON ENTRADA EN VIGOR A PARTIR DEL 2 DE ENERO DE 2021.","

AUTOPISTA

-AUTOVÍA"
CIR  Art. 039 Apt. - Opc. 5A,LSV  Art. 018 Apt. 2 Opc. 5A,39018,-2,5A,"
0",GRAVE 076.- C),"CIRCULAR CON EL VEHICULO RESEÑADO DENTRO DE LOS ITINERARIOS Y PLAZOS OBJETO DE LAS RESTRICCIONES IMPUESTAS POR LA AUTORIDAD COMPETENTE. (SE DEBERÁ DENUNCIAR POR ESTE HECHO SOLO EN EL SUPUESTO DE QUE NO SEA POSIBLE QUE EL INTERESADO OBTENGA UNA AUTORIZACIÓN ESPECIAL. EN CASO CONTRARIO, SE DENUNCIARÁ POR EL
ARTÍCULO 39.5.5A CIRC.)","200.0

100.0",CONDUCTOR,,"

LIMITACION ES A LA CIRCULACI ÓN"
CIR  Art. 039 Apt. - Opc. 5A,LSV  Art. 018 Apt. 4 Opc. 5A,39018,-4,5A,"
4",GRAVE 076.- J),CIRCULAR CONTRAVINIENDO LAS RESTRICCIONES TEMPORALES A LA CIRCULACIÓN IMPUESTAS POR LOS AGENTES ENCARGADOS DE LA VIGILANCIA DEL TRÁFICO PARA LOGRAR UNA MAYOR FLUIDEZ Y SEGURIDAD EN LA CIRCULACIÓN,"200.0

100.0",CONDUCTOR,"NOTA: EN CASOS IMPREVISTOS, O POR CIRCUNSTANCIAS EXCEPCIONALES, CUANDO SE ESTIME NECESARIO PARA LOGRAR UNA MAYOR FLUIDEZ O SEGURIDAD DE LA CIRCULACIÓN, SERÁN LOS AGENTES DE LA AUTORIDAD RESPONSABLE DE LA VIGILANCIA Y DISCIPLINA DEL TRÁFICO LOS QUE, DURANTE EL TIEMPO NECESARIO, DETERMINEN LAS RESTRICCIONES, ADOPTANDOS LAS
MEDIDAS OPORTUNAS.",LIMITACION ES A LA CIRCULACI ÓN
